image_path,image_name,detection_conf,plate_text,ocr_confidence,x_min,y_min,x_max,y_max,width,height
./input/Car_Number_Plate\IMG20200222154440.jpg,IMG20200222154440.jpg,0.9996033310890198,MH 02 WA 7961,0.9383177730925241,1305,2050,2115,2235,810,185
./input/Car_Number_Plate\IMG20200222154505.jpg,IMG20200222154505.jpg,0.9998637437820435,IND MHOZFE9521,0.9434188470485955,1225,1585,1990,1770,765,185
./input/Car_Number_Plate\IMG20200222154534.jpg,IMG20200222154534.jpg,0.9947299957275391,"MH SHIVAM 02,DW 6038 AUTOZONE 4",0.8014168304649776,1120,2785,1890,2970,770,185
./input/Car_Number_Plate\IMG20200222154545.jpg,IMG20200222154545.jpg,0.9992836117744446,MH.04.ET.1342,0.6699424246890141,990,2185,1830,2380,840,195
./input/Car_Number_Plate\IMG20200222154930.jpg,IMG20200222154930.jpg,0.999808669090271,IND HHO 10K2592,0.725478530135707,1420,1535,2060,1695,640,160
./input/Car_Number_Plate\IMG20200222154953.jpg,IMG20200222154953.jpg,0.9997855424880981,MH 04 DR 5444,0.8471831332248956,1080,1960,1980,2145,900,185
./input/Car_Number_Plate\IMG20200222154957.jpg,IMG20200222154957.jpg,0.9639904499053955,IH.48.H.0484,0.8013061019830587,785,2685,1405,2830,620,145
./input/Car_Number_Plate\IMG20200222155001.jpg,IMG20200222155001.jpg,0.9866966605186462,MHUsEE9017,0.31201552285335915,950,2810,1650,2990,700,180
./input/Car_Number_Plate\IMG20200222155006.jpg,IMG20200222155006.jpg,0.9998533725738525,MH 020.J9565],0.8339795484389994,1320,2535,2120,2735,800,200
./input/Car_Number_Plate\IMG20200222155011.jpg,IMG20200222155011.jpg,0.9907956123352051,MH 02 DN 4756,0.9644275542004936,1105,2415,2025,2610,920,195
./input/Car_Number_Plate\IMG20200222155015.jpg,IMG20200222155015.jpg,0.9991956353187561,IND MHOZER8O99,0.7159241670897758,1390,2055,2110,2225,720,170
./input/Car_Number_Plate\IMG20200222155019.jpg,IMG20200222155019.jpg,0.9998421669006348,MH.02.DJ.957,0.9795964446960023,1225,2210,2020,2410,795,200
./input/Car_Number_Plate\IMG20200222155026.jpg,IMG20200222155026.jpg,0.9802703261375427,HO2BG584S,0.48164809396811575,1205,2545,1800,2690,595,145
./input/Car_Number_Plate\IMG20200222155038.jpg,IMG20200222155038.jpg,0.9998461008071899,MH 02 BZ *498,0.49417390893279667,960,2320,1960,2575,1000,255
./input/Car_Number_Plate\IMG20200222155042.jpg,IMG20200222155042.jpg,0.9983499050140381,IND MH 01 AY 22,0.7959031045715276,980,2405,2085,2670,1105,265
./input/Car_Number_Plate\IMG20200222155057.jpg,IMG20200222155057.jpg,0.9973981380462646,M# LZA 9141,0.4081254548724596,1075,2155,2115,2380,1040,225
./input/Car_Number_Plate\IMG20200222155119.jpg,IMG20200222155119.jpg,0.9448158144950867,IND,0.9998451441967937,1175,2120,1905,2280,730,160
./input/Car_Number_Plate\IMG20200222155130.jpg,IMG20200222155130.jpg,0.999854564666748,IND MHG7AN8875,0.706409915261057,1375,2585,2135,2765,760,180
./input/Car_Number_Plate\IMG20200222155138.jpg,IMG20200222155138.jpg,0.9998502731323242,IND MHO2FE9928,0.8645489514938931,1210,2305,2005,2505,795,200
./input/Car_Number_Plate\IMG20200222155233.jpg,IMG20200222155233.jpg,0.9832324981689453,AH 03 AF 4070 sset Auto,0.7241672704148506,1320,2000,1930,2140,610,140
./input/Car_Number_Plate\IMG20200222155239.jpg,IMG20200222155239.jpg,0.9995838403701782,Hh 03 BW 2839 quICK CAR WORLD,0.7067057079055233,1240,2280,1900,2445,660,165
./input/Car_Number_Plate\IMG20200222155244.jpg,IMG20200222155244.jpg,0.9997389316558838,MH 01 AE 3224,0.8782327402613996,1415,2735,2090,2885,675,150
./input/Car_Number_Plate\IMG20200222155248.jpg,IMG20200222155248.jpg,0.9996938109397888,IND 6J04CR3729,0.9405338599770854,1135,2460,2150,2740,1015,280
./input/Car_Number_Plate\IMG20200222155301.jpg,IMG20200222155301.jpg,0.9981716275215149,IND MHO2CL9762,0.8225922688140238,1320,2995,2260,3175,940,180
./input/Car_Number_Plate\IMG20200222155309.jpg,IMG20200222155309.jpg,0.9786768555641174,MH.O2.BY.1432,0.5454270293461085,1185,2650,2010,2800,825,150
./input/Car_Number_Plate\IMG20200222155337.jpg,IMG20200222155337.jpg,0.8475229144096375,MH-01-CV-126,0.7800726446551411,1310,2150,1890,2285,580,135
./input/Car_Number_Plate\IMG20200222155421.jpg,IMG20200222155421.jpg,0.999895453453064,IND MHZ7AN6O52,0.7521390937143275,1315,2160,2065,2365,750,205
./input/Car_Number_Plate\IMG20200222155434.jpg,IMG20200222155434.jpg,0.9984453916549683,MHO2 EZ0473,0.9396386309984776,1060,2710,1855,2865,795,155
./input/Car_Number_Plate\IMG20200222155446.jpg,IMG20200222155446.jpg,0.9994550943374634,MH 02 BG 7313,0.9989211015901358,1140,2600,2015,2765,875,165
./input/Car_Number_Plate\IMG20200222155531.jpg,IMG20200222155531.jpg,0.9998981952667236,IND 6J12047552,0.9015487372852793,1635,1905,2335,2085,700,180
./input/Car_Number_Plate\IMG20200222155547.jpg,IMG20200222155547.jpg,0.5908886194229126,MH 02 DZ 6561,0.8154915096026015,760,1800,1855,2005,1095,205
./input/Car_Number_Plate\IMG20200222155625.jpg,IMG20200222155625.jpg,0.9993190765380859,MH.O2.EF7253,0.753326500366008,960,2690,1715,2855,755,165
./input/Car_Number_Plate\IMG20200222155635.jpg,IMG20200222155635.jpg,0.8058350682258606,MH 43 BE 2410,0.8814090703183188,1010,2195,1935,2330,925,135
./input/Car_Number_Plate\IMG20200222155705.jpg,IMG20200222155705.jpg,0.999772310256958,IIH 02 BP 1291,0.4539983488527597,1080,2040,2045,2290,965,250
./input/Car_Number_Plate\IMG20200222155713.jpg,IMG20200222155713.jpg,0.8662155866622925,MH 02 BG 8088,0.9787909099672395,1080,1995,2095,2220,1015,225
./input/Car_Number_Plate\IMG20200222155723.jpg,IMG20200222155723.jpg,0.9997674226760864,MH 02DS3708,0.9936587821411275,1145,2610,1995,2800,850,190
./input/Car_Number_Plate\IMG20200222205259.jpg,IMG20200222205259.jpg,0.9989804625511169,MH 02 BT 4666,0.8407437492362836,1360,1835,1975,1985,615,150
./input/Car_Number_Plate\IMG20200222205314.jpg,IMG20200222205314.jpg,0.9963420629501343,MH 02 BT 4665,0.35522473522066067,1380,1760,1980,1925,600,165
./input/Car_Number_Plate\IMG20200222205324.jpg,IMG20200222205324.jpg,0.6301175355911255,Không nhận diện,0.0,1695,1575,2505,1765,810,190
./input/Car_Number_Plate\IMG20200222205339.jpg,IMG20200222205339.jpg,0.9996612668037415,MH.03.BE.2561,0.8926329697406811,1605,2075,2370,2230,765,155
./input/Car_Number_Plate\IMG20200222205358.jpg,IMG20200222205358.jpg,0.9999032020568848,MH03 CM3878,0.7910828254060659,1910,2110,2745,2305,835,195
./input/Car_Number_Plate\IMG20200222205416.jpg,IMG20200222205416.jpg,0.9995595812797546,MH03 CM3878,0.8022662891087047,1650,2430,2885,2695,1235,265
./input/Car_Number_Plate\IMG20200222205444.jpg,IMG20200222205444.jpg,0.999690592288971,MHG3BS6719,0.8060534267822062,1650,1755,2620,2000,970,245
./input/Car_Number_Plate\IMG20200222205534.jpg,IMG20200222205534.jpg,0.9991065859794617,[MHO3 CB 4355,0.5144692407090451,1875,2050,2950,2330,1075,280
./input/Car_Number_Plate\IMG20200222205559.jpg,IMG20200222205559.jpg,0.9994702339172363,MHO3 CB 4355,0.8610769527992622,910,2500,2115,2785,1205,285
./input/Car_Number_Plate\IMG20200222205613.jpg,IMG20200222205613.jpg,0.9998034238815308,MHO3 CB 4355,0.690411872268735,1675,2015,2870,2290,1195,275
./input/Car_Number_Plate\IMG20200222210016.jpg,IMG20200222210016.jpg,0.9981978535652161,Không nhận diện,0.0,1200,2040,2475,2455,1275,415
./input/Car_Number_Plate\IMG20200222210050.jpg,IMG20200222210050.jpg,0.9664930105209351,MHO3CH2381,0.6674154373937472,1380,1830,2835,2160,1455,330
./input/Car_Number_Plate\IMG20200222210106.jpg,IMG20200222210106.jpg,0.8637825846672058,MH 03 DA 8578,0.9954267140422699,2360,1640,3355,1945,995,305
./input/Car_Number_Plate\IMG20200222210123.jpg,IMG20200222210123.jpg,0.9950909614562988,MH 04 HF 0900,0.5093348006563614,1470,1730,2920,1970,1450,240
./input/Car_Number_Plate\IMG20200222210135.jpg,IMG20200222210135.jpg,0.6787298321723938,MH.15 EX 4476,0.5573154142386977,1825,1980,3245,2235,1420,255
./input/Car_Number_Plate\IMG20200222210145.jpg,IMG20200222210145.jpg,0.8981282711029053,MH.15.EX.4476,0.8436260933216198,1955,2070,3240,2290,1285,220
./input/Car_Number_Plate\IMG20200222210203.jpg,IMG20200222210203.jpg,0.9995529055595398,MH 03 CS 2212 BHAN' o 73911 NEXA,0.6509116218506777,1740,2415,3010,2785,1270,370
./input/Car_Number_Plate\IMG20200222210241.jpg,IMG20200222210241.jpg,0.9955340623855591,MH 04 D 3 2723 Jud,0.5938489851032543,1205,1785,2435,2095,1230,310
./input/Car_Number_Plate\IMG20200222210301.jpg,IMG20200222210301.jpg,0.6610321402549744,Mh.24Af.1487,0.4749881475185073,1690,1745,2490,1925,800,180
./input/Car_Number_Plate\IMG20200222210352.jpg,IMG20200222210352.jpg,0.9939061999320984,MH 02C0 7596,0.7192628728465261,1080,2575,2045,3080,965,505
./input/Car_Number_Plate\IMG20200222211532.jpg,IMG20200222211532.jpg,0.9993304014205933,AR 4458 HH 4,0.5192245311348561,1150,2080,2030,2355,880,275
./input/Car_Number_Plate\IMG20200222211559.jpg,IMG20200222211559.jpg,0.9968981146812439,MH 43AN 8561,0.9185871400002927,910,2765,1790,2945,880,180
./input/Car_Number_Plate\IMG20200222211615.jpg,IMG20200222211615.jpg,0.9998112916946411,MH 438K 2499,0.45199474808330686,900,3015,1850,3250,950,235
./input/Car_Number_Plate\IMG20200222211629.jpg,IMG20200222211629.jpg,0.9994449615478516,Không nhận diện,0.0,1305,2585,2035,2775,730,190
./input/Car_Number_Plate\IMG20200222211905.jpg,IMG20200222211905.jpg,0.9912821650505066,MH 43 AW 2358 Solitaire Honda 6151615 ,0.7944583358266246,1170,2440,1930,2605,760,165
./input/Car_Number_Plate\IMG20200222212119.jpg,IMG20200222212119.jpg,0.9997360706329346,MH 43 AF 3377,0.9112141244180527,1150,1770,2140,1960,990,190
./input/Car_Number_Plate\IMG20200222212318.jpg,IMG20200222212318.jpg,0.9998307228088379,MH.43.AB.113,0.9955699485033487,1110,2735,2055,2935,945,200
./input/Car_Number_Plate\IMG20200222212357.jpg,IMG20200222212357.jpg,0.9998602867126465,MH 43 BE*7409,0.6531419999691381,990,2250,1930,2475,940,225
./input/Car_Number_Plate\IMG20200222212414.jpg,IMG20200222212414.jpg,0.9996482729911804,HHOIBF 0724 HASHMi MOTOP,0.6683486128844036,1305,2280,2200,2525,895,245
./input/Car_Number_Plate\IMG20200222212436.jpg,IMG20200222212436.jpg,0.999876856803894,IND KHZGBK6312],0.8425146132962444,1045,3110,2040,3365,995,255
./input/Car_Number_Plate\IMG20200222212453.jpg,IMG20200222212453.jpg,0.9996097683906555,Không nhận diện,0.0,1230,1855,2080,2065,850,210
./input/Car_Number_Plate\IMG20200222212603.jpg,IMG20200222212603.jpg,0.9996549487113953,MH 43 AF 4156,0.9910619145889513,990,2245,1815,2410,825,165
./input/Car_Number_Plate\IMG20200222212646.jpg,IMG20200222212646.jpg,0.9997163414955139,M 143 BN 5017},0.629638198550617,1175,2695,1930,2900,755,205
./input/Car_Number_Plate\IMG20200222212726.jpg,IMG20200222212726.jpg,0.999776303768158,IND KH43X8314,0.7044061487191384,880,2835,1860,3100,980,265
./input/Car_Number_Plate\IMG20200222212750.jpg,IMG20200222212750.jpg,0.9989890456199646,PNH 43 X 9813,0.41541732861559216,925,2885,1685,3080,760,195
./input/Car_Number_Plate\IMG20200222213510.jpg,IMG20200222213510.jpg,0.9998295307159424,MH43 AF 3574,0.9926343552711491,1300,2640,2085,2835,785,195
./input/Car_Number_Plate\IMG20200222213525.jpg,IMG20200222213525.jpg,0.9997084736824036,MH 43 A N8314,0.31858728594019736,1060,2210,1910,2410,850,200
./input/Car_Number_Plate\IMG20200222213730.jpg,IMG20200222213730.jpg,0.9997373819351196,MH 43 AL 7203,0.9867664267092694,710,1630,1585,1825,875,195
./input/Car_Number_Plate\IMG20200222213755.jpg,IMG20200222213755.jpg,0.9992873668670654,MH43 AL 4358,0.9659024546230309,1330,2220,2190,2410,860,190
./input/Car_Number_Plate\IMG20200222213857.jpg,IMG20200222213857.jpg,0.9999117851257324,"H,43.AJ.0770",0.48406242549496503,995,2225,1830,2415,835,190
./input/Car_Number_Plate\IMG20200222213907.jpg,IMG20200222213907.jpg,0.9998430013656616,MH.43.AJ.0770,0.8395895584742339,1025,2350,1950,2560,925,210
./input/Car_Number_Plate\IMG20200222213955.jpg,IMG20200222213955.jpg,0.9921005368232727,MH 43 AN 3011,0.5843200994395837,1135,2895,2000,3070,865,175
./input/Car_Number_Plate\IMG20200222214011.jpg,IMG20200222214011.jpg,0.999906063079834,EMHO5EA3808,0.5872743602654729,1015,2720,1890,2930,875,210
./input/Car_Number_Plate\IMG20200222214040.jpg,IMG20200222214040.jpg,0.9075657725334167,Không nhận diện,0.0,1140,2280,2065,2495,925,215
./input/Car_Number_Plate\IMG20200222214338.jpg,IMG20200222214338.jpg,0.9999710321426392,HHZ3BE7556,0.9857266201383583,1465,2895,2345,3115,880,220
./input/Car_Number_Plate\IMG_20191024_144047.jpg,IMG_20191024_144047.jpg,0.9995461106300354,MH 43 BN 1284,0.49361704050188115,1070,2480,2020,2715,950,235
./input/Car_Number_Plate\IMG_20200222_154723.jpg,IMG_20200222_154723.jpg,0.99818354845047,HHO4CM8119,0.5411653894509848,1105,2125,1900,2315,795,190
./input/Car_Number_Plate\IMG_20200222_154739.jpg,IMG_20200222_154739.jpg,0.9998757839202881,MH01C06826 NEXALOWER PAREL,0.605412580947948,1145,2665,1860,2855,715,190
./input/Car_Number_Plate\IMG_20200222_154746.jpg,IMG_20200222_154746.jpg,0.9994591474533081,Mh43aR 43 4,0.38729576447457437,1190,2790,1930,2950,740,160
./input/Car_Number_Plate\IMG_20200222_154802.jpg,IMG_20200222_154802.jpg,0.999774694442749,MH 46 W 4672,0.9001582553353403,955,2035,1660,2210,705,175
./input/Car_Number_Plate\IMG_20200222_154830.jpg,IMG_20200222_154830.jpg,0.9998573064804077,IND HH43an5070,0.5905215448156023,885,2305,1630,2495,745,190
./input/Car_Number_Plate\IMG_20200222_155049.jpg,IMG_20200222_155049.jpg,0.9985730648040771,MH*43 AT 3466,0.5600890315017446,990,2280,1770,2470,780,190
./input/Car_Number_Plate\IMG_20200222_155148.jpg,IMG_20200222_155148.jpg,0.9993209838867188,MH 43 AF 5001,0.33630775407690416,1150,2065,1760,2200,610,135
./input/Car_Number_Plate\IMG_20200222_155432.jpg,IMG_20200222_155432.jpg,0.9998852014541626,MH 46BE 8647,0.7958905361720188,1090,2525,1715,2655,625,130
./input/Car_Number_Plate\IMG_20200222_155448.jpg,IMG_20200222_155448.jpg,0.952595591545105,RJA5 CD 3358,0.8372790784914116,910,2780,1855,2955,945,175
./input/Car_Number_Plate\IMG_20200222_155456.jpg,IMG_20200222_155456.jpg,0.9992239475250244,MH 43X 9433,0.7817883440867602,930,2960,1815,3160,885,200
./input/Car_Number_Plate\IMG_20200222_155503.jpg,IMG_20200222_155503.jpg,0.9994664788246155,ZOnE IIND MH02.AL.6946 TWINS CAR,0.6976958360890764,1170,2655,2120,2890,950,235
./input/Car_Number_Plate\IMG_20200222_155519.jpg,IMG_20200222_155519.jpg,0.9998725652694702,MHO2 AU8208 AUTo,0.6047780244152181,1370,2280,2005,2420,635,140
./input/Car_Number_Plate\IMG_20200222_155531.jpg,IMG_20200222_155531.jpg,0.9988229274749756,IND HHG3AL92L5,0.7057374150653141,1040,2710,1980,2935,940,225
./input/Car_Number_Plate\IMG_20200222_155540.jpg,IMG_20200222_155540.jpg,0.9997543692588806,IND 6J10cn5192,0.8279684638397928,1080,2880,2045,3100,965,220
./input/Car_Number_Plate\IMG_20200222_155555.jpg,IMG_20200222_155555.jpg,0.9997535347938538,MH.03.AM.7300 Linkway Honda,0.755239908882879,1025,2615,2020,2840,995,225
./input/Car_Number_Plate\IMG_20200222_155600.jpg,IMG_20200222_155600.jpg,0.9933307766914368,MH.46.X.5120,0.938896446186367,885,2820,1895,2995,1010,175
./input/Car_Number_Plate\IMG_20200222_160553.jpg,IMG_20200222_160553.jpg,0.9993482828140259,MH.46.AP.5391,0.8096773377934934,200,590,415,630,215,40
./input/Car_Number_Plate\IMG_20200222_160637.jpg,IMG_20200222_160637.jpg,0.9998736381530762,MH 06 BU 2976,0.5354071381562805,985,1800,1925,1995,940,195
./input/Car_Number_Plate\IMG_20200222_160653.jpg,IMG_20200222_160653.jpg,0.9994997978210449,0 MH 05 AX 3973,0.7949046390628561,940,2030,1890,2255,950,225
./input/Car_Number_Plate\IMG_20200222_160702.jpg,IMG_20200222_160702.jpg,0.9997496604919434,MH 06 az 2857,0.6868218010128438,1060,1975,2070,2250,1010,275
./input/Car_Number_Plate\IMG_20200222_160710.jpg,IMG_20200222_160710.jpg,0.9999401569366455,VO MHO6AZ2380,0.6903250983103858,1100,2205,2070,2455,970,250
./input/Car_Number_Plate\IMG_20200222_160717.jpg,IMG_20200222_160717.jpg,0.9984594583511353,MH46W 5564 AU OVISTA 67743777,0.7935250306455596,1050,2220,2000,2455,950,235
./input/Car_Number_Plate\IMG_20200222_160728.jpg,IMG_20200222_160728.jpg,0.9966170191764832,MHO6AN.7238,0.8092698137282381,855,2350,1780,2525,925,175
./input/Car_Number_Plate\IMG_20200222_160741.jpg,IMG_20200222_160741.jpg,0.6539906859397888,@ MH 43 BG 0734,0.9161747688078432,1025,2015,1980,2160,955,145
./input/Car_Number_Plate\IMG_20200222_161006.jpg,IMG_20200222_161006.jpg,0.9040225148200989,M# 43 AB 1837,0.7015969607735807,1110,1300,1845,1455,735,155
./input/Car_Number_Plate\IMG_20200222_161203.jpg,IMG_20200222_161203.jpg,0.9976181387901306,MH.46.Z.8364,0.8503779069587889,1200,2225,1805,2375,605,150
./input/Car_Number_Plate\IMG_20200222_161628.jpg,IMG_20200222_161628.jpg,0.9998524188995361,NAVNIT MH 04 BY 1940,0.8929287083827153,985,2685,1755,2895,770,210
./input/Car_Number_Plate\IMG_20200222_161637.jpg,IMG_20200222_161637.jpg,0.944862425327301,MH'02 CD 8606,0.7962209883532574,1005,2285,2025,2415,1020,130
./input/Car_Number_Plate\IMG_20200222_161648.jpg,IMG_20200222_161648.jpg,0.9942421317100525,CH 01 AD 9404,0.9171033426576546,1025,2165,1805,2330,780,165
./input/Car_Number_Plate\IMG_20200222_161654.jpg,IMG_20200222_161654.jpg,0.9999428987503052,IND,0.6093664710652228,1235,2460,1945,2665,710,205
./input/Car_Number_Plate\IMG_20200222_161703.jpg,IMG_20200222_161703.jpg,0.9998975992202759,IND MHZ6B02315,0.7364280240103107,1235,2695,2065,2915,830,220
./input/Car_Number_Plate\IMG_20200222_161714.jpg,IMG_20200222_161714.jpg,0.9779763221740723,H.05.BS.2220,0.6128704435348866,1305,2615,1880,2740,575,125
./input/Car_Number_Plate\IMG_20200222_161723.jpg,IMG_20200222_161723.jpg,0.999907374382019,IND HH 46W 2634,0.8684518638913561,1100,2715,1865,2915,765,200
./input/Car_Number_Plate\IMG_20200222_161729.jpg,IMG_20200222_161729.jpg,0.991703450679779,"MH ,04,CT,6737",0.4152246386813406,1070,2345,1995,2530,925,185
./input/Car_Number_Plate\IMG_20200222_161735.jpg,IMG_20200222_161735.jpg,0.9998363256454468,INDI HR26CD6423,0.5901513542943233,895,2760,1660,2970,765,210
./input/Car_Number_Plate\IMG_20200222_161742.jpg,IMG_20200222_161742.jpg,0.9990226030349731,MH 02 CB 437,0.7569857855395807,1030,2045,1755,2270,725,225
./input/Car_Number_Plate\IMG_20200222_161745.jpg,IMG_20200222_161745.jpg,0.9998089075088501,HH.87.G.4964|,0.3065985008971807,1275,2210,2085,2390,810,180
./input/Car_Number_Plate\IMG_20200222_161752.jpg,IMG_20200222_161752.jpg,0.9996310472488403,MHO2EP3835 Kiran Motors Maharashtra,0.8953528288738615,1065,2525,1965,2810,900,285
./input/Car_Number_Plate\IMG_20200222_161804.jpg,IMG_20200222_161804.jpg,0.9998254776000977,IND MH 43 Y 9889,0.8748216171081661,1125,2225,1895,2445,770,220
./input/Car_Number_Plate\IMG_20200222_161811.jpg,IMG_20200222_161811.jpg,0.6295493245124817,MH 43 BN 4657,0.9995765780935976,1075,2280,2060,2420,985,140
./input/Car_Number_Plate\IMG_20200222_161818.jpg,IMG_20200222_161818.jpg,0.9999197721481323,MH 46 BE 6179,0.9994773337934382,1195,2205,1875,2355,680,150
./input/Car_Number_Plate\IMG_20200222_161826.jpg,IMG_20200222_161826.jpg,0.9991768002510071,HR 51 AF 1104,0.9494878519932319,1135,1925,1820,2115,685,190
./input/Car_Number_Plate\IMG_20200222_161905.jpg,IMG_20200222_161905.jpg,0.9822984933853149,MH.03.8.5266,0.6359552115780625,1050,2410,1725,2540,675,130
./input/Car_Number_Plate\IMG_20200222_161910.jpg,IMG_20200222_161910.jpg,0.999906063079834,IND AP.16.BP.5923,0.6830384880661005,1145,2010,1880,2195,735,185
./input/Car_Number_Plate\IMG_20200222_161923.jpg,IMG_20200222_161923.jpg,0.9994695782661438,MH.O2.BM.269,0.778029927372781,1330,2505,1925,2645,595,140
./input/Car_Number_Plate\IMG_20200222_161929.jpg,IMG_20200222_161929.jpg,0.9990512728691101,MHOLVA 9078,0.5380738047467205,1010,2710,1885,2935,875,225
./input/Car_Number_Plate\IMG_20200222_161938.jpg,IMG_20200222_161938.jpg,0.9971579313278198,IH 46 BA 018,0.8809586455401468,1300,2210,1840,2360,540,150
./input/Car_Number_Plate\IMG_20200222_161944.jpg,IMG_20200222_161944.jpg,0.9559392929077148,MH 43AW 0424,0.8947390184520054,920,2340,1685,2470,765,130
./input/Car_Number_Plate\IMG_20200222_164228.jpg,IMG_20200222_164228.jpg,0.9971373081207275,MH 02,0.992844081075206,1080,1870,1900,2040,820,170
./input/Car_Number_Plate\IMG_20200222_164228604_HDR.jpg,IMG_20200222_164228604_HDR.jpg,0.9999425411224365,MH 43 AF 6646,0.9288312992436686,1110,1860,1700,1995,590,135
./input/Car_Number_Plate\IMG_20200222_164304.jpg,IMG_20200222_164304.jpg,0.9996324777603149,MH.46.X.2440,0.9918896999061094,985,2090,1985,2265,1000,175
./input/Car_Number_Plate\IMG_20200222_164408735_HDR.jpg,IMG_20200222_164408735_HDR.jpg,0.9259125590324402,MH 46 2440,0.9990775801604914,865,1905,1995,2050,1130,145
./input/Car_Number_Plate\IMG_20200222_164417437_HDR.jpg,IMG_20200222_164417437_HDR.jpg,0.9994189739227295,IND MHL3BN 1861 NEXA VASHI PALM BEACH ROAD 9326928299,0.8224649597638533,1295,2220,2070,2410,775,190
./input/Car_Number_Plate\IMG_20200222_164430319.jpg,IMG_20200222_164430319.jpg,0.9999138116836548,"ID MHO5CY6838 Regent Honda 02522 69553,",0.8409539605332605,1345,1830,2055,2035,710,205
./input/Car_Number_Plate\IMG_20200222_164445552_HDR.jpg,IMG_20200222_164445552_HDR.jpg,0.9987244009971619,IND MH43BN8108,0.7728763761643094,1315,2225,2070,2415,755,190
./input/Car_Number_Plate\IMG_20200222_164453816.jpg,IMG_20200222_164453816.jpg,0.999915361404419,MH 46B42895,0.4891240705935941,1105,1825,1965,2050,860,225
./input/Car_Number_Plate\IMG_20200222_164506159.jpg,IMG_20200222_164506159.jpg,0.9998615980148315,MHZ3AT1968 IND,0.927856739337722,1250,2510,2085,2740,835,230
./input/Car_Number_Plate\IMG_20200222_164525363_HDR.jpg,IMG_20200222_164525363_HDR.jpg,0.9992156028747559,MH.43.AJ.3301,0.9885098490500988,1215,1940,2070,2115,855,175
./input/Car_Number_Plate\IMG_20200222_164539467.jpg,IMG_20200222_164539467.jpg,0.9996861219406128,MH.43.AF 8733 Bhavna Ford,0.7542738066321192,1285,1830,1855,1960,570,130
./input/Car_Number_Plate\IMG_20200222_164605838.jpg,IMG_20200222_164605838.jpg,0.9857024550437927,MH02 ER 2232,0.9138663634464101,995,1625,1955,1780,960,155
./input/Car_Number_Plate\IMG_20200222_164622735_HDR.jpg,IMG_20200222_164622735_HDR.jpg,0.9992664456367493,MH 3 BN 5832,0.8467314627232563,1265,1500,1815,1620,550,120
./input/Car_Number_Plate\IMG_20200222_164641584.jpg,IMG_20200222_164641584.jpg,0.991661787033081,03 CM 71 wwwyashmotors c,0.7580782255635494,1180,2180,1610,2310,430,130
./input/Car_Number_Plate\IMG_20200222_164709022_HDR.jpg,IMG_20200222_164709022_HDR.jpg,0.9971383213996887,Không nhận diện,0.0,1340,1855,1865,1975,525,120
./input/Car_Number_Plate\IMG_20200222_164728219_HDR.jpg,IMG_20200222_164728219_HDR.jpg,0.9988730549812317,"MH43 ,BP 5455 o euer",0.39772759117961887,1350,1930,1950,2065,600,135
./input/Car_Number_Plate\IMG_20200222_164737933.jpg,IMG_20200222_164737933.jpg,0.9998905658721924,Không nhận diện,0.0,1175,1925,1925,2120,750,195
./input/Car_Number_Plate\IMG_20200222_164747265_HDR.jpg,IMG_20200222_164747265_HDR.jpg,0.9941868185997009,MH 43 BK 6779,0.845195062627331,990,2330,1870,2530,880,200
./input/Car_Number_Plate\IMG_20200222_164757123_HDR.jpg,IMG_20200222_164757123_HDR.jpg,0.9997692108154297,IND,0.9981338919371213,1105,2410,1850,2585,745,175
./input/Car_Number_Plate\IMG_20200222_164828783.jpg,IMG_20200222_164828783.jpg,0.9992327690124512,MH 43 X 7213,0.7512685061950712,1360,1990,1940,2145,580,155
./input/Car_Number_Plate\IMG_20200222_164840930_HDR.jpg,IMG_20200222_164840930_HDR.jpg,0.9994584321975708,IND Hh438u0642,0.7690334676586896,915,2095,1820,2310,905,215
./input/Car_Number_Plate\IMG_20200222_164849104.jpg,IMG_20200222_164849104.jpg,0.9998975992202759,Không nhận diện,0.0,1210,2740,2090,3015,880,275
./input/Car_Number_Plate\IMG_20200222_164915342.jpg,IMG_20200222_164915342.jpg,0.9997631311416626,@toZAUTOWORKS JH 09 E 1755,0.9759765166976431,1240,2340,1900,2480,660,140
./input/Car_Number_Plate\IMG_20200222_164941082_HDR.jpg,IMG_20200222_164941082_HDR.jpg,0.9835580587387085,MH 49B 1908,0.9840139575358076,1215,2680,1845,2825,630,145
./input/Car_Number_Plate\IMG_20200222_164957387.jpg,IMG_20200222_164957387.jpg,0.9999399185180664,IND,0.9912107365853521,1350,1985,1835,2115,485,130
./input/Car_Number_Plate\IMG_20200222_165043874.jpg,IMG_20200222_165043874.jpg,0.9610475897789001,MH *43 AN 92,0.48574896351274044,1220,2030,1695,2150,475,120
./input/Car_Number_Plate\IMG_20200222_165117190.jpg,IMG_20200222_165117190.jpg,0.9990339875221252,MF:03 . BE . 4882,0.4195652266465962,1175,1965,1985,2170,810,205
./input/Car_Number_Plate\IMG_20200222_165129606.jpg,IMG_20200222_165129606.jpg,0.9854212403297424,04 GJ 3094 MH,0.8435958904228581,1045,2950,2125,3280,1080,330
./input/Car_Number_Plate\IMG_20200222_165136212_HDR.jpg,IMG_20200222_165136212_HDR.jpg,0.9980953335762024,DLACAF 7566,0.6621283099281571,720,2695,1875,2925,1155,230
./input/Car_Number_Plate\IMG_20200222_165154185_HDR.jpg,IMG_20200222_165154185_HDR.jpg,0.9973666071891785,MH 04 FZ 8259,0.7867573669900154,1125,2125,2020,2330,895,205
